b0_iriL_all,b0_mel_all,b0_iriD_all,b0_xanS_all,b0_xanC_all,b1_iriL_all,b1_mel_all,b1_iriD_all,b1_xanS_all,b1_xanC_all,avg_straightness_all,med_straightness_all,med_mel_widths_all,med_xanC_widths_all,med_xanS_widths_all,med_iriL_widths_all,med_idiD_widths_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,xanSmel_density_all,melxanS_density_all,iriLmel_density_all,dayOfNewStripes,annulus_In_MB
4,10,3,13,3,2,2,2,2,1,8.80470901642702,8.61864556323314,480.3,NaN,437.8,430.9,364,61.3551778404634,147.628335719706,19.8031210703915,37.5265531421706,88.4842570054226,72.0264197017584,633.449654336535,92.419819648725,146.752246833594,34.1150575930634,237.017781086254,18.452380952381,14,11,21,235
4,8,3,11,3,2,2,3,2,3,9.29358375892415,8.1278297305294,485.8,512.65,419.6,441.8,443.5,61.2845897991264,175.04860885889,21.5887773962424,38.1108478585477,73.5788338655041,71.7360222449889,392.989873301267,91.0690478067414,138.64606082197,33.0993332306234,251.677609080311,19.8333333333333,15,12,22,235
5,8,3,8,3,3,2,3,2,3,8.4278848421458,8.43127839945465,468.3,488.2,443.9,336.15,440.8,60.83696875933,128.686706887682,18.6465837773264,37.8949005199947,99.4190308447356,73.6472852647751,203.041644720585,92.2328026735952,124.42888613321,33.7832269372023,229.717323288666,20,15,11.2142857142857,23,235
5,10,3,11,3,2,2,3,2,3,7.56774194365623,7.74842995227589,463.3,496.35,404.1,381.9,443.8,61.0977082017685,76.1298630976192,14.2808022172114,37.962306882569,89.0993421745692,70.7432149238175,304.865825494079,92.2435478798287,155.688568058042,34.5140379941216,254.814391490439,20,15,11,21,235
7,9,3,8,3,2,2,3,2,3,6.93948463613602,7.22489195379151,538.3,498.95,474.8,468.6,454.1,60.773692049955,147.286339433888,19.9694274579434,38.3042143649772,81.3379678231074,71.1843087563729,285.197424344097,92.2654899115752,130.309712379401,33.6597693500128,226.11663252336,20,16,12,22,235
4,10,3,12,3,2,2,3,2,3,7.40215765871283,7.34893300262748,461.3,485.15,402.3,408.1,439.2,60.7731546412226,98.0687680756186,16.294970531475,37.6686448521367,98.3511501393479,71.319144889078,377.207115405669,92.2490512670716,146.495494632537,35.1037821669494,258.536360612413,20,15,12,20,235
7,9,2,10,2,2,1,3,2,3,9.3311549134477,9.89472475250865,NaN,470.65,442.7,413.8,432.95,60.2994504183797,86.087640684343,15.387109661692,38.3823180769387,75.4759116166875,69.4339390107818,491.56177238185,90.8857006512478,136.724283480812,33.5782863376416,195.106175884304,20,15,11.2142857142857,22,235
5,10,3,14,3,2,2,3,2,3,7.23210332930938,7.46089414956977,470,483.55,407.9,418.8,441.3,61.0672210894196,68.4341754278026,13.5465393175383,38.1162961133765,80.8187485507342,69.0108684017507,702.435082168545,92.0543817525539,156.019251716969,34.2076337278522,240.033890256547,20,16,12,19,235
6,8,3,10,3,2,2,3,2,3,8.94722869423998,7.98228363858716,543.6,496.7,508.4,506.6,430.4,59.5087148261145,80.357555481297,15.063739170385,37.243558523736,118.121361908707,70.0426229602539,475.541264498742,92.7856786397828,153.997400416658,32.5568038532372,224.101043812886,20,16,12,22,235
5,11,3,14,3,2,2,3,2,3,6.46726170012255,6.13023815609125,486.4,476,414.3,410,440.35,62.6972668400323,298.70989840054,27.566155267737,37.2968819356233,101.206518255357,74.3406846025758,677.786593153934,92.2115682391191,149.521687980577,35.0387361914868,231.009851645182,18,15,12,21,235
7,11,3,11,3,2,2,3,2,3,8.07241120070517,8.36975437108887,472.4,492.1,445.4,403.4,462.1,60.9391520828432,145.249558308565,19.7770268485975,38.0926916118538,85.6574172657694,71.9442320781156,533.071643494008,91.6889799381593,128.019677402797,35.012808264704,255.366161766466,19,14,11.4047619047619,21,235
5,8,3,11,3,2,2,3,2,3,7.15545402299689,7.20258525484404,459.3,486.2,417.7,401.9,437.2,60.599111020471,149.994160188214,20.2102144669092,38.3250330698743,77.2057861474717,71.1320782267196,431.28648595114,92.3501585081645,133.816299941912,32.9880037923743,225.589954129741,19,16,12,22,235
4,8,3,6,3,2,2,3,2,3,7.17030521554819,6.92435367353626,439.2,459.15,396.8,385.6,426.35,61.9448681762705,138.365997649165,18.98931751759,37.5612302145588,93.1760071533566,71.3400406334103,391.244888586538,93.3204583197552,144.029010927039,32.6942913858464,203.342873527267,19.6428571428571,16,11,22,235
8,12,3,12,3,2,2,3,2,3,9.59404639991798,9.6582600380292,470.5,485.65,427.5,427.4,438.85,60.5346798788933,217.453837676179,24.3601124196123,38.1864675138072,80.8895456374176,71.5871524835382,559.417399488402,91.5359475829422,144.07837324278,33.5750754799718,216.457451847139,19,15,12,21,235
3,10,2,14,2,1,1,3,1,3,7.43427507491983,8.35420561046786,NaN,480.05,NaN,NaN,440.8,59.8009778033112,97.6801679184317,16.5270337351844,37.5236435287935,93.0997312755683,66.641887489769,679.153707108772,91.7333497076075,161.849228647266,33.3027577442621,216.640804702302,19.8333333333333,15,11.9761904761905,0,235
5,11,3,13,3,2,2,3,2,3,9.09359642682725,9.07431837792467,445,497.2,407.4,398.1,446.15,62.5967971141141,214.061477813585,23.3731446821059,37.8328295410935,88.3048410548632,72.7833123452459,531.466033076165,92.3206441355529,142.102356160143,34.5114921032533,225.229860141968,19,15,12,22,235
4,12,3,14,3,2,2,3,2,3,7.42137055816361,7.6804969536448,492.2,512.6,447.8,441.7,449.1,60.8166709512658,92.7668320543293,15.8370292693635,38.0291087495507,80.338605549862,71.9422612190529,571.038513579397,92.3730312107408,152.12319642165,35.1165929645043,262.294948545961,20,15,12,21,235
2,8,3,8,3,2,2,3,2,3,6.70156675037675,7.07138772905781,464.7,446.85,427.2,418.6,400.65,60.1979081322664,100.46137191659,16.6501500799758,37.7897718913522,91.8266480188132,71.0117621750062,441.516292181727,91.872129066783,135.540391529545,33.9528506449885,242.583591410453,18.2142857142857,15,11.2142857142857,23,235
