b0_iriL_all,b0_mel0_all,center_stripe_rad_all,iriLmel_density_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_pca_ratio_iriL_all,med_pca_ratio_iriL_all,alignment_score_all,med_cluster_size_all,mean_cluster_size_all,cluster_size_75_all,annulus_In_MB
0,52,0,0,224.830602394404,10562.7388505163,45.712276208084,NaN,NaN,0,0,0,0,10
0,68,0,0,208.033299181038,8586.10158430301,44.5415324297828,NaN,NaN,0,0,0,0,10
0,56,0,0,201.936093380203,9259.2533018092,47.6512208879582,NaN,NaN,0,0,0,0,10
0,52,0,0,230.041725633488,12498.454450703,48.598351645501,NaN,NaN,0,0,0,0,10
0,63,0,0,191.70019986609,5244.8723487947,37.778516132199,NaN,NaN,0,0,0,0,10
0,56,0,0,224.659306035556,6598.36033872064,36.1571009166588,NaN,NaN,0,0,0,0,10
0,62,0,0,220.790203977333,8873.63823871444,42.6649321185558,NaN,NaN,0,0,0,0,10
0,74,0,0,203.023336257711,5594.68734008167,36.841894133545,NaN,NaN,0,0,0,0,35
0,80,0,0,182.133774728731,5996.13653397191,42.5153019848494,NaN,NaN,0,0,0,0,35
0,67,0,0,204.549187038681,6047.10424689933,38.016836059058,NaN,NaN,0,0,0,0,35
0,67,0,0,191.423142867703,6919.63448582032,43.4557384974569,NaN,NaN,0,0,0,0,35
0,72,0,0,188.152103829125,6025.59034084122,41.2563423570853,NaN,NaN,0,0,0,0,35
0,59,0,0,228.196031866657,8267.85715073121,39.8463361186733,NaN,NaN,0,0,0,0,35
0,64,0,0,195.700981341377,5328.2567598661,37.299204447681,NaN,NaN,0,0,0,0,35
0,72,0,0,192.670007737777,7853.9122675709,45.9969365377318,NaN,NaN,0,0,0,0,35
0,83,0,0,191.927472525944,3657.98248198998,31.5125586152549,NaN,NaN,0,0,0,0,35
0,71,0,0,197.064235587712,5981.4102851694,39.2458720429067,NaN,NaN,0,0,0,0,35
0,65,0,0,182.578555773758,5652.7114288988,41.1792696938684,NaN,NaN,0,0,0,0,35
