b0_xanS_all,b0_mel0_all,center_stripe_rad_all,xanSmel_density_all,melxanS_density_all,mean_mel_space_all,var_mel_space_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,mel_CV_all,mean_pca_ratio_mel_all,med_pca_ratio_mel_all,alignment_score_all,mel_med_cluster_size_all,mel_mean_cluster_size_all,mel_cluster_size_75_all,annulus_In_MB
0,0,0,0,0,0,0,46.923207831711,106.415656470059,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.340965582931,94.5711956025614,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.5039791001906,95.734419574995,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.6644654473083,107.104149241071,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4643636140078,93.0889204823413,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0685289393487,104.196851232595,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4014389026351,91.717571082518,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4850073671207,89.6462142598044,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1185185746879,94.8205554248247,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.232709240925,93.2697324466761,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3724810077997,95.0448945544397,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2736568065608,98.0402802518378,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3995067608244,97.0041609033612,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1999698568721,97.7158684453123,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,46.943514461074,98.6241944636447,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3281479413762,93.9662151674142,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.6690981226675,86.4041848042976,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1841706744373,92.7636613470634,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.9718414971357,106.309200432751,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6253558134569,91.0723453062043,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0924225028424,105.167019190211,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6629182524832,82.6506957697609,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.485794164528,84.6570060321144,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.9263902949887,99.8187544565038,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
